DateTime;AirTemperature;ComfortTemperature;RelativeHumidity;WindSpeed;WindDirection;WWCode;EffectiveCloudCover,,,,,
02Oct2019 23:00:00;19,00;17,70;28,70;1,50;10;;0,0
03Oct2019 0:00:00;17,50;16,20;30,00;1,50;20;;0,0
03Oct2019 1:00:00;17,30;16,00;29,90;1,50;10;;0,0
03Oct2019 2:00:00;17,10;15,80;29,90;1,00;310;;0,0
03Oct2019 3:00:00;16,10;15,00;33,70;0,50;360;;0,0
03Oct2019 4:00:00;15,00;14,00;37,50;0,50;20;;0,0
03Oct2019 5:00:00;13,80;12,80;39,70;0,50;20;;0,0
03Oct2019 6:00:00;13,30;12,30;39,80;1,00;360;;0,0
03Oct2019 7:00:00;12,90;12,00;40,90;1,00;10;;2,0
03Oct2019 8:00:00;15,20;14,10;35,70;0,00;0;;2,0
03Oct2019 9:00:00;19,00;17,80;30,60;0,50;60;0;1,80
03Oct2019 10:00:00;21,30;20,10;27,70;0,50;140;;1,0
03Oct2019 11:00:00;22,50;21,50;27,70;1,50;220;;1,0
03Oct2019 12:00:00;24,60;23,40;23,90;0,50;250;;1,0
03Oct2019 13:00:00;25,90;24,60;21,90;1,00;210;;1,0
03Oct2019 14:00:00;27,10;24,60;14,00;1,50;260;;0,0
03Oct2019 15:00:00;27,50;25,00;14,00;2,10;260;;0,0
03Oct2019 16:00:00;28,10;25,70;14,00;1,50;220;;0,0
03Oct2019 17:00:00;26,80;24,30;14,10;2,60;230;;0,0
03Oct2019 18:00:00;26,20;23,80;15,00;1,00;200;;0,0
03Oct2019 19:00:00;24,70;22,30;15,00;0,50;230;;0,0
03Oct2019 20:00:00;22,20;20,40;21,00;0,50;170;;0,0
03Oct2019 21:00:00;19,70;18,30;26,70;0,50;30;;0,0
03Oct2019 22:00:00;18,80;17,40;27,00;0,50;360;;0,0
03Oct2019 23:00:00;17,50;16,20;30,00;1,00;10;;0,0
04Oct2019 0:00:00;16,00;14,80;33,00;1,00;20;;0,0
04Oct2019 1:00:00;15,90;14,50;29,90;1,00;10;;0,0
04Oct2019 2:00:00;14,70;13,60;34,80;0,50;10;;0,0
04Oct2019 3:00:00;14,20;13,10;35,90;1,00;10;;0,0
04Oct2019 4:00:00;13,40;12,30;36,80;0,50;350;;0,0
04Oct2019 5:00:00;12,50;11,60;41,00;0,50;360;;0,0
04Oct2019 6:00:00;12,00;11,10;41,80;1,00;10;;0,0
04Oct2019 7:00:00;11,40;10,50;41,90;1,50;10;;0,0
04Oct2019 8:00:00;14,50;13,30;33,70;1,00;30;;0,0
04Oct2019 9:00:00;17,70;16,30;29,00;1,50;30;0;0,0
04Oct2019 10:00:00;22,10;20,30;21,10;1,50;60;;0,0
04Oct2019 11:00:00;22,90;21,40;22,90;0,50;210;;0,0
04Oct2019 12:00:00;24,00;23,10;26,70;1,50;260;;0,0
04Oct2019 13:00:00;25,60;24,60;23,80;1,50;200;;0,0
04Oct2019 14:00:00;26,20;25,10;22,80;1,50;240;;0,0
04Oct2019 15:00:00;27,30;26,20;21,80;1,50;270;;0,0
04Oct2019 16:00:00;28,30;26,90;18,90;0,50;260;;0,0
04Oct2019 17:00:00;27,50;25,80;17,90;0,00;0;;0,0
04Oct2019 18:00:00;27,10;24,80;15,00;1,00;240;;0,0
04Oct2019 19:00:00;24,90;23,00;19,00;0,50;280;;0,0
04Oct2019 20:00:00;22,20;20,90;25,70;0,50;10;;0,0
04Oct2019 21:00:00;20,40;19,50;31,70;0,50;10;;0,0
04Oct2019 22:00:00;18,40;17,40;33,70;1,00;20;;0,0
04Oct2019 23:00:00;17,60;16,60;34,60;0,50;10;;0,0
05Oct2019 0:00:00;17,00;15,90;33,70;1,50;360;;0,0
05Oct2019 1:00:00;16,30;15,20;34,50;1,00;10;;0,0
05Oct2019 2:00:00;15,10;14,10;37,50;0,50;10;;0,0
05Oct2019 3:00:00;14,30;13,40;39,50;1,00;10;;0,0
05Oct2019 4:00:00;13,90;13,00;40,60;1,00;360;;0,0
05Oct2019 5:00:00;13,10;12,20;41,50;1,50;350;;0,0
05Oct2019 6:00:00;12,70;11,80;41,70;1,50;20;;2,60
05Oct2019 7:00:00;13,10;12,10;40,00;2,60;20;;3,0
05Oct2019 8:00:00;15,40;14,30;34,80;1,50;20;;5,0
05Oct2019 9:00:00;19,50;18,30;29,70;1,50;100;0;5,70
05Oct2019 10:00:00;19,80;18,80;31,70;1,00;120;;4,50
05Oct2019 11:00:00;17,20;17,60;57,00;0,50;330;80;5,50
05Oct2019 12:00:00;20,60;20,70;42,80;0,50;150;25;6,60
05Oct2019 13:00:00;22,70;22,70;36,60;1,00;230;;5,50
05Oct2019 14:00:00;22,50;22,00;32,70;2,60;240;;5,0
05Oct2019 15:00:00;23,80;23,10;28,80;4,10;220;2;6,20
05Oct2019 16:00:00;21,50;21,70;40,80;1,50;230;25;5,0
05Oct2019 17:00:00;21,90;22,10;39,80;2,10;240;;5,50
05Oct2019 18:00:00;21,20;21,40;41,80;1,00;190;3;6,60
05Oct2019 19:00:00;18,80;19,60;57,00;1,50;90;;4,0
05Oct2019 20:00:00;17,90;18,80;62,40;0,00;0;;3,0
05Oct2019 21:00:00;17,10;18,00;66,00;0,00;0;2;4,60
05Oct2019 22:00:00;16,10;16,80;67,10;0,50;20;;4,0
05Oct2019 23:00:00;15,40;16,00;69,30;0,50;10;;3,0
06Oct2019 0:00:00;15,40;16,00;70,20;0,00;0;;2,60
06Oct2019 1:00:00;15,80;16,60;71,20;0,00;0;;3,50
06Oct2019 2:00:00;16,00;16,60;66,20;0,00;0;;3,50
06Oct2019 3:00:00;16,40;17,00;64,10;0,50;250;;4,40
06Oct2019 4:00:00;15,30;15,80;68,30;1,00;180;;5,0
06Oct2019 5:00:00;14,80;15,30;70,10;0,00;0;;5,0
06Oct2019 6:00:00;14,30;14,80;73,90;0,50;140;;4,40
06Oct2019 7:00:00;14,00;14,50;74,80;0,50;160;;3,50
06Oct2019 8:00:00;14,40;14,90;72,90;0,50;210;80;4,0
06Oct2019 9:00:00;15,40;16,20;73,10;1,50;190;25;4,0
06Oct2019 10:00:00;17,30;17,90;61,00;3,10;230;;4,0
06Oct2019 11:00:00;16,00;16,80;70,30;2,60;240;80;5,50
06Oct2019 12:00:00;12,30;12,70;83,00;2,60;260;80;7,0
06Oct2019 13:00:00;13,50;14,10;81,00;2,60;240;25;6,0
06Oct2019 14:00:00;14,90;15,80;78,00;2,10;210;;5,0
06Oct2019 15:00:00;16,00;16,50;64,00;2,60;240;2;5,0
06Oct2019 16:00:00;16,50;16,60;54,90;1,50;290;;6,0
06Oct2019 17:00:00;16,30;15,90;46,80;2,60;240;;5,0
06Oct2019 18:00:00;15,30;14,90;49,90;2,60;250;;4,0
06Oct2019 19:00:00;14,40;14,20;55,90;1,50;230;;3,0
06Oct2019 20:00:00;13,60;13,20;53,00;1,50;280;;0,0
06Oct2019 21:00:00;12,80;12,50;57,90;0,00;0;;0,0
06Oct2019 22:00:00;12,00;11,70;63,10;0,00;0;;0,0
06Oct2019 23:00:00;10,50;10,30;70,20;0,50;10;;0,0
07Oct2019 0:00:00;10,10;9,80;68,20;1,00;60;;0,0
07Oct2019 1:00:00;9,40;9,10;72,00;1,00;40;;0,0
07Oct2019 2:00:00;8,60;8,30;73,90;0,50;40;;0,0
07Oct2019 3:00:00;7,70;7,40;75,80;1,00;40;;0,0
07Oct2019 4:00:00;6,90;6,60;80,10;0,00;0;;0,0
07Oct2019 5:00:00;6,60;6,30;80,60;0,50;20;;0,0
07Oct2019 6:00:00;5,70;5,50;84,00;1,50;40;;0,0
07Oct2019 7:00:00;5,40;3,40;84,50;2,60;20;;2,0
07Oct2019 8:00:00;8,30;6,90;74,90;2,60;30;;2,0
07Oct2019 9:00:00;10,40;10,00;64,10;1,00;70;0;1,80
07Oct2019 10:00:00;13,00;12,60;57,10;1,50;50;;4,0
07Oct2019 11:00:00;15,80;15,20;44,80;1,00;50;;4,0
07Oct2019 12:00:00;16,60;15,80;38,50;0,50;60;;3,0
07Oct2019 13:00:00;17,80;17,00;37,50;0,50;70;;3,0
07Oct2019 14:00:00;17,80;17,00;37,50;0,50;240;;3,0
07Oct2019 15:00:00;19,20;18,40;34,60;0,50;250;;3,30
07Oct2019 16:00:00;18,90;18,00;34,50;0,50;270;;2,0
07Oct2019 17:00:00;19,40;18,50;33,70;0,50;90;;2,0
07Oct2019 18:00:00;18,30;17,60;37,70;2,10;40;;3,30
07Oct2019 19:00:00;17,90;17,20;38,60;1,50;20;;2,0
07Oct2019 20:00:00;17,30;16,70;40,70;1,50;20;;2,50
07Oct2019 21:00:00;16,30;15,80;45,80;2,10;20;;2,60
07Oct2019 22:00:00;14,60;14,20;51,80;3,60;30;;0,0
07Oct2019 23:00:00;14,10;13,80;55,10;2,10;30;;0,0
08Oct2019 0:00:00;13,30;13,00;58,00;3,10;30;;0,0
08Oct2019 1:00:00;13,10;12,80;57,90;2,60;30;;0,0
08Oct2019 2:00:00;13,40;13,10;58,00;2,10;30;;4,0
08Oct2019 3:00:00;13,40;13,10;56,80;2,10;30;;3,0
08Oct2019 4:00:00;13,60;13,30;56,10;1,00;20;;3,0
08Oct2019 5:00:00;13,60;13,30;56,10;1,00;30;;3,0
08Oct2019 6:00:00;13,60;13,30;56,90;1,50;30;;6,30
08Oct2019 7:00:00;13,40;13,10;56,00;1,50;70;;4,0
08Oct2019 8:00:00;13,90;13,60;56,20;1,50;40;;4,0
08Oct2019 9:00:00;16,00;15,70;49,70;0,50;40;0;5,90
08Oct2019 10:00:00;18,60;18,30;42,80;1,00;30;;4,0
08Oct2019 11:00:00;19,00;18,70;41,70;1,00;40;;4,50
08Oct2019 12:00:00;19,70;19,50;41,70;0,00;0;;5,70
08Oct2019 13:00:00;19,70;19,60;42,80;1,50;250;;6,0
08Oct2019 14:00:00;19,40;19,30;43,60;1,00;230;;6,0
08Oct2019 15:00:00;18,40;18,60;50,10;2,10;240;80;6,60
08Oct2019 16:00:00;19,10;19,40;48,90;1,00;190;25;5,0
08Oct2019 17:00:00;19,60;19,90;47,70;1,00;220;;5,0
08Oct2019 18:00:00;19,60;20,00;49,00;1,00;250;2;7,30
08Oct2019 19:00:00;18,50;19,00;54,00;0,50;240;;4,0
08Oct2019 20:00:00;17,50;18,10;59,00;1,00;260;;3,50
08Oct2019 21:00:00;17,00;17,60;61,30;0,50;240;2;5,30
08Oct2019 22:00:00;16,30;17,00;66,30;1,00;210;;3,50
08Oct2019 23:00:00;16,00;16,50;65,40;1,00;40;;2,0
09Oct2019 0:00:00;14,80;15,10;66,00;0,00;0;;2,60
09Oct2019 1:00:00;14,20;14,50;69,00;0,00;0;;3,0
09Oct2019 2:00:00;13,40;13,60;70,30;0,50;210;;3,0
09Oct2019 3:00:00;12,50;12,70;74,10;0,00;0;;2,60
09Oct2019 4:00:00;11,80;11,90;77,00;0,00;0;;3,0
09Oct2019 5:00:00;11,20;11,20;75,90;0,00;0;;3,0
09Oct2019 6:00:00;10,40;10,40;77,90;0,00;0;;0,0
09Oct2019 7:00:00;9,60;9,50;78,80;0,50;40;;0,0
09Oct2019 8:00:00;12,00;12,00;72,00;1,00;20;;0,0
09Oct2019 9:00:00;14,60;14,60;61,20;1,00;40;0;0,0
09Oct2019 10:00:00;16,00;16,10;57,10;0,50;80;;0,0
09Oct2019 11:00:00;17,30;17,40;52,90;0,50;150;;0,0
09Oct2019 12:00:00;18,70;18,90;48,80;1,00;230;;0,0
09Oct2019 13:00:00;19,70;20,00;46,80;1,50;180;;0,0
09Oct2019 14:00:00;20,50;20,70;43,60;1,50;240;;0,0
09Oct2019 15:00:00;21,80;21,90;39,70;0,50;220;;0,0
09Oct2019 16:00:00;22,30;21,80;32,70;1,00;200;;0,0
09Oct2019 17:00:00;22,00;21,90;36,70;1,00;250;;0,0
09Oct2019 18:00:00;21,20;21,20;39,60;1,00;260;;0,0
09Oct2019 19:00:00;19,70;19,90;45,80;0,50;260;;0,0
09Oct2019 20:00:00;18,50;18,80;51,80;0,00;0;;0,0
09Oct2019 21:00:00;16,50;16,80;58,00;0,50;20;;0,0
09Oct2019 22:00:00;15,10;15,30;62,10;0,50;30;;0,0
09Oct2019 23:00:00;14,00;14,10;66,30;0,50;30;;0,0
10Oct2019 0:00:00;13,50;13,60;66,10;1,50;30;;0,0
10Oct2019 1:00:00;12,90;12,90;66,90;1,50;20;;0,0
10Oct2019 2:00:00;12,30;12,20;68,20;1,00;20;;0,0
10Oct2019 3:00:00;11,80;11,70;70,00;1,00;30;;0,0
10Oct2019 4:00:00;11,10;11,00;72,80;1,50;40;;0,0
10Oct2019 5:00:00;10,80;10,70;73,80;2,10;30;;0,0
10Oct2019 6:00:00;10,30;10,20;75,20;2,10;40;;0,0
10Oct2019 7:00:00;10,30;10,20;75,70;2,10;30;;0,0
10Oct2019 8:00:00;12,60;12,50;66,00;1,50;30;;0,0
10Oct2019 9:00:00;15,80;15,80;55,10;1,50;60;0;0,0
10Oct2019 10:00:00;18,40;18,50;48,70;1,00;60;;0,0
10Oct2019 11:00:00;21,00;21,10;41,70;0,00;0;;0,0
10Oct2019 12:00:00;22,40;22,50;37,80;0,50;230;;0,0
10Oct2019 13:00:00;23,80;24,00;35,70;1,50;220;;1,0
10Oct2019 14:00:00;24,80;24,90;32,70;1,50;250;;2,0
10Oct2019 15:00:00;25,30;25,20;30,70;2,10;250;;2,0
10Oct2019 16:00:00;25,00;24,90;30,80;1,50;240;;2,0
10Oct2019 17:00:00;23,90;23,80;32,70;2,10;240;;0,0
10Oct2019 18:00:00;23,20;22,40;28,70;2,10;230;;2,60
10Oct2019 19:00:00;21,80;21,40;34,60;0,50;270;;3,0
10Oct2019 20:00:00;20,70;20,60;39,70;0,50;200;;0,0
10Oct2019 21:00:00;19,10;19,10;45,70;0,50;280;;0,0
10Oct2019 22:00:00;18,60;18,70;47,80;0,50;210;;0,0
10Oct2019 23:00:00;17,30;17,20;49,80;0,50;180;;0,0
11Oct2019 0:00:00;16,30;16,30;54,10;0,50;230;;0,0
11Oct2019 1:00:00;16,40;16,10;47,80;0,50;240;;0,0
11Oct2019 2:00:00;14,80;14,70;57,20;0,00;0;;0,0
11Oct2019 3:00:00;13,90;13,70;58,90;0,00;0;;0,0
11Oct2019 4:00:00;12,90;12,90;66,00;0,50;20;;0,0
11Oct2019 5:00:00;12,10;11,90;64,90;0,50;350;;0,0
11Oct2019 6:00:00;11,40;11,10;65,20;0,50;10;;0,0
11Oct2019 7:00:00;10,80;10,50;66,00;0,50;10;;1,50
11Oct2019 8:00:00;13,10;12,80;57,10;0,00;0;;1,50
11Oct2019 9:00:00;15,70;15,30;48,00;0,50;50;0;0,80
11Oct2019 10:00:00;17,70;17,30;43,70;0,50;110;;2,0
11Oct2019 11:00:00;18,40;17,90;40,70;0,50;150;;3,50
11Oct2019 12:00:00;20,40;19,70;33,80;1,00;190;;3,90
11Oct2019 13:00:00;21,80;20,60;26,70;1,50;180;;5,0
11Oct2019 14:00:00;22,50;21,40;26,70;1,50;210;;5,0
11Oct2019 15:00:00;23,60;22,40;24,80;2,10;240;;3,50
11Oct2019 16:00:00;24,10;23,10;25,80;1,50;230;;3,0
11Oct2019 17:00:00;23,70;22,90;27,80;0,50;220;;4,50
11Oct2019 18:00:00;22,70;21,90;29,70;1,50;230;;5,70
11Oct2019 19:00:00;22,10;21,80;34,70;1,00;290;;4,50
11Oct2019 20:00:00;21,10;20,90;37,70;2,10;50;;4,50
11Oct2019 21:00:00;20,20;20,20;42,70;2,10;20;;5,70
11Oct2019 22:00:00;19,20;19,40;47,90;2,10;20;;5,0
11Oct2019 23:00:00;18,40;18,70;51,10;1,50;10;;4,0
12Oct2019 0:00:00;17,50;17,80;54,10;2,60;10;;0,0
12Oct2019 1:00:00;16,00;16,20;59,10;1,50;20;;0,0
12Oct2019 2:00:00;14,70;14,90;64,20;1,00;50;;0,0
12Oct2019 3:00:00;14,10;14,30;67,20;0,50;10;;0,0
12Oct2019 4:00:00;13,30;13,50;71,20;0,00;0;;0,0
12Oct2019 5:00:00;12,60;12,70;73,10;1,00;30;;0,0
12Oct2019 6:00:00;12,20;12,30;75,00;1,00;20;;0,0
12Oct2019 7:00:00;11,60;11,70;77,00;1,00;20;;0,0
12Oct2019 8:00:00;13,40;13,60;71,30;1,50;20;;0,0
12Oct2019 9:00:00;16,50;16,90;60,00;2,10;40;0;0,0
12Oct2019 10:00:00;19,40;19,70;48,00;2,60;30;;0,0
12Oct2019 11:00:00;20,30;20,50;43,90;2,10;30;;0,0
12Oct2019 12:00:00;21,70;21,80;39,70;2,60;20;;3,0
12Oct2019 13:00:00;22,20;22,00;35,70;1,00;60;;3,0
12Oct2019 14:00:00;23,10;22,70;31,80;1,00;100;;3,0
12Oct2019 15:00:00;22,90;22,50;32,60;0,50;80;;2,0
12Oct2019 16:00:00;23,70;22,90;27,80;0,50;360;;2,0
12Oct2019 17:00:00;22,70;21,80;28,70;1,00;60;;0,0
12Oct2019 18:00:00;21,70;20,90;30,70;1,00;30;;0,0
12Oct2019 19:00:00;20,20;19,80;37,70;2,10;40;;0,0
12Oct2019 20:00:00;18,10;17,90;44,80;0,50;50;;0,0
12Oct2019 21:00:00;17,90;17,50;42,60;1,50;20;;0,0
12Oct2019 22:00:00;16,20;15,80;47,80;2,60;30;;0,0
12Oct2019 23:00:00;15,50;15,10;50,00;2,10;30;;0,0
13Oct2019 0:00:00;14,70;14,30;51,90;2,10;30;;0,0
13Oct2019 1:00:00;13,80;13,50;56,10;2,60;30;;0,0
13Oct2019 2:00:00;13,10;12,90;60,00;2,10;30;;0,0
13Oct2019 3:00:00;12,50;12,30;62,00;2,10;40;;0,0
13Oct2019 4:00:00;11,90;11,70;64,90;2,60;30;;0,0
13Oct2019 5:00:00;11,40;11,20;66,10;2,60;30;;0,0
13Oct2019 6:00:00;11,00;10,80;68,90;2,60;30;;0,0
13Oct2019 7:00:00;10,70;10,50;70,30;2,10;50;;0,0
13Oct2019 8:00:00;12,20;12,00;64,10;2,10;50;;0,0
13Oct2019 9:00:00;15,20;15,10;55,00;3,10;40;0;0,0
13Oct2019 10:00:00;18,50;18,40;45,80;2,60;40;;0,0
13Oct2019 11:00:00;19,00;18,90;43,80;1,00;360;;0,0
13Oct2019 12:00:00;21,90;21,20;31,70;1,50;30;;0,0
13Oct2019 13:00:00;24,20;23,30;26,80;1,50;30;;0,0
13Oct2019 14:00:00;24,90;23,60;22,80;2,10;40;;0,0
13Oct2019 15:00:00;25,20;23,90;22,90;0,00;0;;0,0
13Oct2019 16:00:00;24,60;23,00;20,80;0,50;360;;0,0
13Oct2019 17:00:00;24,60;22,30;16,00;1,00;350;;0,0
13Oct2019 18:00:00;23,50;21,30;17,10;1,50;60;;0,0
13Oct2019 19:00:00;20,40;17,70;12,00;1,00;20;;0,0
13Oct2019 20:00:00;19,40;16,60;10,00;2,10;360;;0,0
13Oct2019 21:00:00;16,70;14,40;14,00;2,10;20;;0,0
13Oct2019 22:00:00;15,50;13,50;18,10;2,10;20;;0,0
13Oct2019 23:00:00;14,10;12,40;21,10;1,50;60;;0,0
14Oct2019 0:00:00;12,40;10,90;25,00;1,00;30;;0,0
14Oct2019 1:00:00;11,50;10,20;27,80;1,00;40;;0,0
14Oct2019 2:00:00;10,50;9,30;28,80;2,10;40;;0,0
14Oct2019 3:00:00;9,70;8,50;29,90;1,50;30;;0,0
14Oct2019 4:00:00;9,30;8,20;30,80;1,50;20;;0,0
14Oct2019 5:00:00;8,90;7,00;29,90;2,10;40;;0,0
14Oct2019 6:00:00;8,20;7,20;32,90;1,50;30;;0,0
14Oct2019 7:00:00;7,50;6,60;34,70;0,50;10;;0,0
14Oct2019 8:00:00;10,10;8,90;28,90;2,10;20;;0,0
14Oct2019 9:00:00;13,00;11,50;24,10;1,50;50;0;0,0
14Oct2019 10:00:00;17,50;15,50;19,00;1,00;50;;0,0
14Oct2019 11:00:00;19,80;17,70;18,00;0,50;60;;0,0
14Oct2019 12:00:00;22,70;20,20;15,00;0,50;70;;0,0
14Oct2019 13:00:00;25,40;22,40;10,90;0,50;90;;0,0
14Oct2019 14:00:00;26,20;22,50;6,90;0,50;210;;0,0
14Oct2019 15:00:00;27,40;23,60;6,90;0,50;240;;0,0
14Oct2019 16:00:00;27,50;23,90;7,90;0,50;170;;0,0
14Oct2019 17:00:00;27,40;23,80;7,90;0,50;270;;0,0
14Oct2019 18:00:00;25,10;22,20;11,90;0,00;0;;1,0
14Oct2019 19:00:00;21,50;19,70;21,10;1,00;360;;0,0
14Oct2019 20:00:00;19,30;17,90;27,00;1,00;360;;0,0
14Oct2019 21:00:00;17,60;16,20;28,90;1,00;10;;0,0
14Oct2019 22:00:00;16,90;15,30;25,90;1,50;30;;0,0
14Oct2019 23:00:00;16,30;14,70;25,90;1,50;30;;0,0
15Oct2019 0:00:00;15,40;13,90;27,90;2,60;30;;0,0
15Oct2019 1:00:00;14,30;13,00;30,80;1,50;40;;0,0
15Oct2019 2:00:00;13,50;12,30;33,00;1,50;60;;0,0
15Oct2019 3:00:00;12,70;11,50;34,70;1,00;40;;0,0
15Oct2019 4:00:00;11,80;10,70;36,80;1,50;30;;0,0
15Oct2019 5:00:00;10,80;9,80;39,90;1,50;40;;0,0
15Oct2019 6:00:00;10,70;9,70;39,90;2,10;20;;0,0
15Oct2019 7:00:00;10,20;9,30;41,00;1,50;30;;2,0
15Oct2019 8:00:00;11,90;10,80;36,90;1,50;30;;2,0
15Oct2019 9:00:00;15,70;14,30;29,90;1,00;50;0;1,80
15Oct2019 10:00:00;19,00;17,50;25,90;1,00;40;;3,0
15Oct2019 11:00:00;22,00;20,30;22,00;0,50;60;;2,0
15Oct2019 12:00:00;25,40;23,00;15,00;1,00;60;;0,80
15Oct2019 13:00:00;26,60;24,40;16,00;0,50;240;;1,50
15Oct2019 14:00:00;28,70;26,10;13,00;0,50;270;;1,50
15Oct2019 15:00:00;29,40;25,90;8,90;0,50;130;;0,80
15Oct2019 16:00:00;29,50;26,00;8,90;0,50;220;;1,50
15Oct2019 17:00:00;28,80;25,30;8,90;0,50;320;;1,0
15Oct2019 18:00:00;25,50;23,40;17,10;0,00;0;;0,80
15Oct2019 19:00:00;23,10;21,60;22,80;0,50;360;;1,50
15Oct2019 20:00:00;21,20;19,80;25,80;0,50;340;;1,50
15Oct2019 21:00:00;19,90;18,70;29,60;0,00;0;;0,0
15Oct2019 22:00:00;18,80;17,30;25,90;1,50;40;;0,0
15Oct2019 23:00:00;19,50;17,90;24,90;3,10;30;;0,0
16Oct2019 0:00:00;18,70;17,20;27,00;2,10;50;;0,0
16Oct2019 1:00:00;16,90;15,70;31,80;1,00;10;;0,0
16Oct2019 2:00:00;16,70;15,40;30,80;2,10;20;;0,0
16Oct2019 3:00:00;15,10;13,90;33,90;2,60;30;;0,0
16Oct2019 4:00:00;15,30;14,10;32,80;2,10;20;;4,0
16Oct2019 5:00:00;14,70;13,60;34,80;1,00;40;;3,0
16Oct2019 6:00:00;14,10;13,00;37,00;1,50;20;;3,50
16Oct2019 7:00:00;13,40;12,40;37,90;2,10;20;;5,0
16Oct2019 8:00:00;14,70;13,60;35,80;1,00;30;;3,0
16Oct2019 9:00:00;16,80;15,60;31,80;2,10;30;0;3,50
16Oct2019 10:00:00;20,80;19,30;24,90;1,00;50;;4,0
16Oct2019 11:00:00;24,30;22,40;19,00;1,00;70;;5,0
16Oct2019 12:00:00;24,80;23,20;20,90;1,50;220;0;5,70
16Oct2019 13:00:00;24,60;23,90;27,70;2,10;190;;4,0
16Oct2019 14:00:00;25,50;24,90;26,80;1,50;260;;4,0
16Oct2019 15:00:00;25,00;24,40;27,80;2,10;250;;4,60
16Oct2019 16:00:00;23,80;23,50;31,80;1,50;260;25;5,0
16Oct2019 17:00:00;23,30;22,90;31,60;0,50;230;;5,0
16Oct2019 18:00:00;22,90;22,40;31,70;0,50;220;2;5,0
16Oct2019 19:00:00;21,00;20,70;37,70;0,00;0;;2,0
16Oct2019 20:00:00;19,60;19,50;42,80;0,00;0;;3,0
16Oct2019 21:00:00;18,40;18,50;48,70;0,00;0;1;0,0
16Oct2019 22:00:00;16,60;16,50;52,00;0,00;0;;0,0
16Oct2019 23:00:00;16,20;16,10;51,90;1,00;360;;0,0
17Oct2019 0:00:00;15,80;15,70;54,00;0,50;210;;0,0
17Oct2019 1:00:00;15,10;15,00;56,10;0,50;30;;0,0
17Oct2019 2:00:00;14,20;14,00;58,20;1,00;20;;3,0
17Oct2019 3:00:00;13,80;13,50;56,90;1,50;40;;2,60
17Oct2019 4:00:00;13,20;12,90;58,00;2,10;20;;0,0
17Oct2019 5:00:00;13,00;12,70;59,10;1,50;30;;0,0
17Oct2019 6:00:00;12,90;12,60;59,90;2,10;40;;2,60
17Oct2019 7:00:00;12,50;12,20;61,10;2,10;30;;2,0
17Oct2019 8:00:00;12,50;12,20;61,10;2,10;40;;2,0
17Oct2019 9:00:00;16,60;16,40;48,90;1,00;40;0;3,0
17Oct2019 10:00:00;19,10;18,80;41,80;0,50;40;;3,0
17Oct2019 11:00:00;20,30;20,20;40,70;1,50;240;;1,50
17Oct2019 12:00:00;22,20;22,00;35,70;1,00;230;;4,0
17Oct2019 13:00:00;21,00;21,50;45,90;1,00;220;;5,0
17Oct2019 14:00:00;25,50;25,50;30,70;0,50;70;;4,0
17Oct2019 15:00:00;24,60;24,20;29,70;2,60;120;;4,0
17Oct2019 16:00:00;22,60;21,80;29,70;2,60;130;29;5,0
17Oct2019 17:00:00;16,80;18,10;74,30;3,60;220;95;6,0
17Oct2019 18:00:00;17,20;18,60;72,90;0,50;250;29;6,20
17Oct2019 19:00:00;17,00;18,00;68,20;0,50;20;;5,0
17Oct2019 20:00:00;16,20;17,50;77,20;0,00;0;;4,0
17Oct2019 21:00:00;16,00;16,60;67,10;0,00;0;1;2,0
17Oct2019 22:00:00;15,80;16,40;68,00;0,00;0;;2,0
17Oct2019 23:00:00;14,80;15,50;74,00;0,50;160;;2,0
18Oct2019 0:00:00;14,80;15,50;74,00;0,00;0;;2,0
18Oct2019 1:00:00;14,90;15,50;72,00;0,00;0;;4,0
18Oct2019 2:00:00;15,10;15,70;71,10;0,00;0;;4,0
18Oct2019 3:00:00;14,90;15,40;69,20;0,00;0;;4,0
18Oct2019 4:00:00;14,70;15,40;74,90;0,50;90;80;5,0
18Oct2019 5:00:00;13,90;14,70;83,80;0,50;10;25;4,0
18Oct2019 6:00:00;12,90;13,50;83,70;0,50;30;2;4,0
18Oct2019 7:00:00;12,80;13,40;83,70;0,50;20;;4,0
18Oct2019 8:00:00;13,30;13,90;82,10;0,00;0;;4,0
18Oct2019 9:00:00;14,50;15,20;76,40;0,00;0;2;4,0
18Oct2019 10:00:00;16,00;16,70;68,00;0,00;0;80;5,0
18Oct2019 11:00:00;17,30;18,20;64,30;0,00;0;;5,50
18Oct2019 12:00:00;18,10;19,10;62,00;0,50;160;2;6,60
18Oct2019 13:00:00;20,40;21,30;52,00;0,50;210;;5,0
18Oct2019 14:00:00;20,70;21,10;44,90;0,50;260;;4,50
18Oct2019 15:00:00;22,30;22,10;35,80;0,50;200;2;6,30
18Oct2019 16:00:00;22,40;22,50;37,80;0,00;0;;4,0
18Oct2019 17:00:00;22,20;22,30;38,80;0,50;70;;4,50
18Oct2019 18:00:00;18,20;19,00;59,20;1,50;180;80;7,10
18Oct2019 19:00:00;17,40;18,50;68,30;1,00;210;80;6,0
18Oct2019 20:00:00;17,20;18,40;70,10;0,00;0;80;5,50
18Oct2019 21:00:00;15,70;17,00;81,80;1,00;20;81;7,0
18Oct2019 22:00:00;15,40;16,80;84,50;0,00;0;25;5,50
18Oct2019 23:00:00;15,00;16,00;80,10;2,10;40;25;5,50
